1|0|2|0|1|u|0|_|a|2|0|1
1|0|1|2|4|u|0|_|a|1|2|4
1|0|2|7|3|u|0|_|a|2|7|3
1|0|2|0|0|u|0|_|a|2|0|0
1|0|2|5|3|u|0|_|a|2|5|3
1|0|1|6|6|u|0|_|a|1|6|6
1|0|1|7|6|u|0|_|a|1|7|6
1|0|2|9|0|u|0|_|a|2|9|0
1|0|1|7|9|u|0|_|a|1|7|9
1|0|2|2|6|u|0|_|a|2|2|6
1|0|2|2|0|u|0|_|a|2|2|0
1|0|2|8|5|u|0|_|a|2|8|5
1|0|1|6|2|u|0|_|a|1|6|2
1|0|1|2|7|u|0|_|a|1|2|7
1|0|2|1|9|u|0|_|a|2|1|9
1|0|1|3|4|u|0|_|a|1|3|4
1|0|1|3|3|u|0|_|a|1|3|3
1|0|2|5|5|u|0|_|a|2|5|5
1|0|3|2|8|u|0|_|a|3|2|8
1|0|2|5|4|u|0|_|a|2|5|4
1|0|2|3|1|u|0|_|a|2|3|1
1|0|4|1|8|u|0|_|a|4|1|8
1|0|1|8|3|u|0|_|a|1|8|3
1|0|2|0|5|u|0|_|a|2|0|5
1|0|3|5|4|u|0|_|a|3|5|4
1|0|2|3|4|u|0|_|a|2|3|4
